Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","238","Ethiopia","41","China, mainland","5910","Export Quantity","116","Potatoes","2015","2015","tonnes","0","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2005","2005","tonnes","56","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2006","2006","tonnes","28","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2007","2007","tonnes","9669","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2008","2008","tonnes","8454","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2009","2009","tonnes","9327","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2010","2010","tonnes","12582","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2011","2011","tonnes","12372","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2012","2012","tonnes","11903","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2013","2013","tonnes","14195","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2014","2014","tonnes","14728","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2015","2015","tonnes","15378","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2016","2016","tonnes","16399","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","16867","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","72","Djibouti","5910","Export Quantity","116","Potatoes","2018","2018","tonnes","16612","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","79","Germany","5910","Export Quantity","116","Potatoes","2009","2009","tonnes","0","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","144","Mozambique","5910","Export Quantity","116","Potatoes","2008","2008","tonnes","0","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","150","Netherlands","5910","Export Quantity","116","Potatoes","2014","2014","tonnes","0","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","150","Netherlands","5910","Export Quantity","116","Potatoes","2015","2015","tonnes","0","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","185","Russian Federation","5910","Export Quantity","116","Potatoes","2009","2009","tonnes","2","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","194","Saudi Arabia","5910","Export Quantity","116","Potatoes","2017","2017","tonnes","2","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","201","Somalia","5910","Export Quantity","116","Potatoes","2008","2008","tonnes","2","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","201","Somalia","5910","Export Quantity","116","Potatoes","2009","2009","tonnes","2","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","201","Somalia","5910","Export Quantity","116","Potatoes","2010","2010","tonnes","7513","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","201","Somalia","5910","Export Quantity","116","Potatoes","2011","2011","tonnes","32601","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","201","Somalia","5910","Export Quantity","116","Potatoes","2012","2012","tonnes","42656","","Official data"
"TM","Detailed trade matrix","238","Ethiopia","201","Somalia","5910","Export Quantity","116","Potatoes","2013","2013","tonnes","103809","","Official data"
