Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","41","China, mainland","9","Argentina","5610","Import Quantity","116","Potatoes","2018","2018","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","33","Canada","5610","Import Quantity","116","Potatoes","2005","2005","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","41","China, mainland","33","Canada","5610","Import Quantity","116","Potatoes","2006","2006","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","41","China, mainland","33","Canada","5610","Import Quantity","116","Potatoes","2008","2008","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","33","Canada","5610","Import Quantity","116","Potatoes","2009","2009","tonnes","4","","Official data"
"TM","Detailed trade matrix","41","China, mainland","33","Canada","5610","Import Quantity","116","Potatoes","2014","2014","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","33","Canada","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","33","Canada","5610","Import Quantity","116","Potatoes","2018","2018","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","33","Canada","5610","Import Quantity","116","Potatoes","2019","2019","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","40","Chile","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","59","Egypt","5610","Import Quantity","116","Potatoes","2009","2009","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","68","France","5610","Import Quantity","116","Potatoes","2006","2006","tonnes","150","","Official data"
"TM","Detailed trade matrix","41","China, mainland","112","Jordan","5610","Import Quantity","116","Potatoes","2008","2008","tonnes","1","","Official data"
"TM","Detailed trade matrix","41","China, mainland","150","Netherlands","5610","Import Quantity","116","Potatoes","2008","2008","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","150","Netherlands","5610","Import Quantity","116","Potatoes","2015","2015","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","150","Netherlands","5610","Import Quantity","116","Potatoes","2016","2016","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","150","Netherlands","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","150","Netherlands","5610","Import Quantity","116","Potatoes","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"TM","Detailed trade matrix","41","China, mainland","150","Netherlands","5610","Import Quantity","116","Potatoes","2019","2019","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","156","New Zealand","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","170","Peru","5610","Import Quantity","116","Potatoes","2018","2018","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","117","Republic of Korea","5610","Import Quantity","116","Potatoes","2007","2007","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","117","Republic of Korea","5610","Import Quantity","116","Potatoes","2011","2011","tonnes","99","","Official data"
"TM","Detailed trade matrix","41","China, mainland","229","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","116","Potatoes","2009","2009","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","229","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","116","Potatoes","2012","2012","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","41","China, mainland","229","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","116","Potatoes","2013","2013","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","229","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","116","Potatoes","2019","2019","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","231","United States of America","5610","Import Quantity","116","Potatoes","2006","2006","tonnes","8","","Official data"
"TM","Detailed trade matrix","41","China, mainland","231","United States of America","5610","Import Quantity","116","Potatoes","2008","2008","tonnes","9","","Official data"
"TM","Detailed trade matrix","41","China, mainland","231","United States of America","5610","Import Quantity","116","Potatoes","2010","2010","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","231","United States of America","5610","Import Quantity","116","Potatoes","2011","2011","tonnes","91","","Official data"
"TM","Detailed trade matrix","41","China, mainland","231","United States of America","5610","Import Quantity","116","Potatoes","2013","2013","tonnes","0","","Official data"
"TM","Detailed trade matrix","41","China, mainland","231","United States of America","5610","Import Quantity","116","Potatoes","2017","2017","tonnes","5","","Official data"
"TM","Detailed trade matrix","41","China, mainland","231","United States of America","5610","Import Quantity","116","Potatoes","2018","2018","tonnes","0","","Official data"
